Date,PE_RATIO
2021-02-26,30.8657
2021-01-29,30.076
2020-12-31,30.5034
2020-11-30,28.2978
2020-10-30,25.6545
2020-09-30,26.4825
2020-08-31,26.8817
2020-07-31,25.0991
2020-06-30,23.8537
2020-05-29,21.2781
2020-04-30,20.1773
2020-03-31,17.8902
2020-02-28,19.4739
2020-01-31,21.1515
2019-12-31,21.2207
2019-11-29,20.9533
2019-10-31,20.194
2019-09-30,19.7469
2019-08-30,19.3047
2019-07-31,19.6104
2019-06-28,19.3458
2019-05-31,18.2132
2019-04-30,19.4345
2019-03-29,18.7156
2019-02-28,18.5303
2019-01-31,17.9882
2018-12-31,16.6459
2018-11-30,18.5262
2018-10-31,18.2567
2018-09-28,19.6154
2018-08-31,20.6266
2018-07-31,20.0982
2018-06-29,19.4518
2018-05-31,20.171
2018-04-30,19.8706
2018-03-30,19.9132
2018-02-28,21.4741
2018-01-31,22.4255
2017-12-29,21.2859
2017-11-30,22.2483
2017-10-31,21.7088
2017-09-29,21.2805
2017-08-31,21.1768
2017-07-31,21.2181
2017-06-30,20.938
2017-05-31,21.246
2017-04-28,21.0287
2017-03-31,20.9259
2017-02-28,21.5683
2017-01-31,20.8226
2016-12-30,20.4975
2016-11-30,20.6181
2016-10-31,19.9603
2016-09-30,20.3996
2016-08-31,20.4541
2016-07-29,20.4964
2016-06-30,19.8503
2016-05-31,19.7158
2016-04-29,19.4461
2016-03-31,19.4471
2016-02-29,17.7891
2016-01-29,17.8236
2015-12-31,18.7762
2015-11-30,18.6862
2015-10-30,18.6972
2015-09-30,17.3129
2015-08-31,17.577
2015-07-31,18.7761
2015-06-30,18.4451
2015-05-29,18.7316
2015-04-30,18.5696
2015-03-31,18.3742
2015-02-27,18.6688
2015-01-30,17.7325
2014-12-31,18.3428
2014-11-28,18.4099
2014-10-31,17.9913
2014-09-30,17.5885
2014-08-29,18.2876
2014-07-31,17.6517
2014-06-30,17.9283
2014-05-30,17.8387
2014-04-30,17.5117
2014-03-31,17.4017
2014-02-28,17.4349
2014-01-31,16.7859
2013-12-31,17.3967
2013-11-29,17.3192
2013-10-31,16.9225
2013-09-30,16.2214
2013-08-30,15.8911
2013-07-31,16.4355
2013-06-28,15.7764
2013-05-31,16.249
2013-04-30,15.9316
2013-03-29,15.6519
2013-02-28,15.2118
2013-01-31,15.0328
2012-12-31,14.4181
2012-11-30,14.6013
2012-10-31,14.5652
2012-09-28,14.8935
2012-08-31,14.5072
2012-07-31,14.2163
2012-06-29,14.0379
2012-05-31,13.7452
2012-04-30,14.7289
2012-03-30,14.8647
2012-02-29,14.5594
2012-01-31,14.0085
2011-12-30,13.4696
2011-11-30,13.8864
2011-10-31,13.9726
2011-09-30,12.6768
2011-08-31,14.066
2011-07-29,14.9356
2011-06-30,15.3789
2011-05-31,16.0375
2011-04-29,15.7684
2011-03-31,15.4382
2011-02-28,16.1018
2011-01-31,15.6387
2010-12-31,15.3635
2010-11-30,15.2376
2010-10-29,15.295
2010-09-30,14.8235
2010-08-31,14.4691
2010-07-30,15.2163
2010-06-30,14.402
2010-05-31,16.577
2010-04-30,18.1652
2010-03-31,17.9713
2010-02-26,18.9746
2010-01-29,18.416
2009-12-31,19.3656
2009-11-30,24.2492
2009-10-30,22.9876
2009-09-30,23.2272
2009-08-31,21.3743
2009-07-31,19.4562
2009-06-30,18.097
2009-05-29,16.9159
2009-04-30,15.9775
2009-03-31,14.456
2009-02-27,12.1213
2009-01-30,13.5943
2008-12-31,16.7894
2008-11-28,14.2089
2008-10-31,15.2024
2008-09-30,18.0579
2008-08-29,19.2409
2008-07-31,18.6779
2008-06-30,18.6239
2008-05-30,18.7624
2008-04-30,18.3806
2008-03-31,17.5796
2008-02-29,16.5598
2008-01-31,17.0858
2007-12-31,18.2407
2007-11-30,16.6853
2007-10-31,17.3146
2007-09-28,17.0856
2007-08-31,16.4093
2007-07-31,16.2043
2007-06-29,16.7664
2007-05-31,17.4821
2007-04-30,16.9377
2007-03-30,16.2601
2007-02-28,16.3521
2007-01-31,16.79
2006-12-29,16.5889
2006-11-30,16.7379
2006-10-31,16.4596
2006-09-29,15.9898
2006-08-31,16.3392
2006-07-31,16.041
2006-06-30,16.0083
2006-05-31,16.5229
2006-04-28,17.1418
2006-03-31,16.945
2006-02-28,17.239
2006-01-31,17.2817
2005-12-30,16.9501
2005-11-30,17.4142
2005-10-31,16.8395
2005-09-30,17.3963
2005-08-31,17.5513
2005-07-29,17.8613
2005-06-30,17.3277
2005-05-31,17.6445
2005-04-29,17.2277
2005-03-31,17.6831
2005-02-28,18.3555
2005-01-31,18.0632
2004-12-31,18.5744
2004-11-30,18.4697
2004-10-29,17.8705
2004-09-30,17.8299
2004-08-31,18.0318
2004-07-30,18.0165
2004-06-30,18.8318
2004-05-31,19.2497
2004-04-30,19.1435
2004-03-31,19.6111
2004-02-27,20.9734
2004-01-30,20.7976
2003-12-31,20.5437
2003-11-28,20.9406
2003-10-31,20.8503
2003-09-30,19.9014
2003-08-29,20.8539
2003-07-31,20.6249
2003-06-30,20.3858
2003-05-30,20.4892
2003-04-30,19.5303
2003-03-31,18.1684
2003-02-28,18.2849
2003-01-31,18.6246
2002-12-31,19.1984
2002-11-29,20.3771
2002-10-31,19.3147
2002-09-30,17.8556
