Dates,SPTR500N Index,,SPTR500N Index,,SPXT Index,,SPXT Index
1998-12-31,1670.02,1999-01-01,1670.02,1988-01-29,257.47,1988-02-01,255.51
1999-01-29,1739.45,1999-02-01,1730.42,1988-02-29,269.47,1988-03-01,269.44
1999-02-26,1684.76,1999-03-01,1681.84,1988-03-31,261.15,1988-04-01,261.15
1999-03-31,1751.55,1999-04-01,1761.61,1988-04-29,264.04,1988-05-01,264.04
1999-04-30,1818.95,1999-05-01,1818.95,1988-05-31,266.32,1988-06-01,270.95
1999-05-31,1775.26,1999-06-01,1764.96,1988-06-30,278.54,1988-07-01,276.86
1999-06-30,1873.21,1999-07-01,1884.53,1988-07-29,277.49,1988-08-01,277.76
1999-07-30,1814.26,1999-08-01,1814.26,1988-08-31,268.07,1988-09-01,264.85
1999-08-31,1804.58,1999-09-01,1819.43,1988-09-30,279.49,1988-10-01,279.49
1999-09-30,1754.49,1999-10-01,1754.65,1988-10-31,287.27,1988-11-01,287.51
1999-10-29,1865.12,1999-11-01,1853.08,1988-11-30,283.18,1988-12-01,281.95
1999-11-30,1902.33,1999-12-01,1914.68,1988-12-30,288.12,1989-01-01,288.12
1999-12-31,2013.76,2000-01-01,2013.76,1989-01-31,309.21,1989-02-01,308.85
2000-01-31,1912.18,2000-02-01,1932.5,1989-02-28,301.51,1989-03-01,299.77
2000-02-29,1875.31,2000-03-01,1893.12,1989-03-31,308.54,1989-04-01,308.54
2000-03-31,2058.15,2000-04-01,2058.15,1989-04-28,324.56,1989-05-01,324.11
2000-04-28,1995.79,2000-05-01,2017.53,1989-05-31,337.69,1989-06-01,339.25
2000-05-31,1954.01,2000-06-01,1992.84,1989-06-30,335.78,1989-07-01,335.78
2000-06-30,2001.77,2000-07-01,2001.77,1989-07-31,366.1,1989-08-01,363.77
2000-07-31,1970.05,2000-08-01,1980.05,1989-08-31,373.25,1989-09-01,375.78
2000-08-31,2091.57,2000-09-01,2095.85,1989-09-29,371.74,1989-10-01,371.74
2000-09-29,1980.57,2000-10-01,1980.57,1989-10-31,363.11,1989-11-01,364.01
2000-10-31,1971.77,2000-11-01,1960.6,1989-11-30,370.51,1989-12-01,375.52
2000-11-30,1815.56,2000-12-01,1815.95,1989-12-29,379.41,1990-01-01,379.41
2000-12-29,1823.99,2001-01-01,1823.99,1990-01-31,353.94,1990-02-01,353.68
2001-01-31,1888.24,2001-02-01,1898.67,1990-02-28,358.5,1990-03-01,359.46
2001-02-28,1715.44,2001-03-01,1717.25,1990-03-30,368,1990-04-01,368
2001-03-30,1606.33,2001-04-01,1606.33,1990-04-30,358.81,1990-05-01,360.48
2001-04-30,1730.72,2001-05-01,1754.25,1990-05-31,393.8,1990-06-01,395.94
2001-05-31,1741.49,2001-06-01,1748.21,1990-06-29,391.14,1990-07-01,391.14
2001-06-29,1698.75,2001-07-01,1698.75,1990-07-31,389.89,1990-08-01,389.22
2001-07-31,1681.55,2001-08-01,1688.22,1990-08-31,354.65,1990-09-01,354.65
2001-08-31,1575.53,2001-09-01,1575.53,1990-09-28,337.39,1990-10-01,347.3
2001-09-28,1447.84,2001-10-01,1444.52,1990-10-31,335.95,1990-11-01,339.35
2001-10-31,1475.03,2001-11-01,1509,1990-11-30,357.67,1990-12-01,357.67
2001-11-30,1587.5,2001-12-01,1587.5,1990-12-31,367.63,1991-01-01,367.63
2001-12-31,1600.85,2002-01-01,1600.85,1991-01-31,383.64,1991-02-01,382.68
2002-01-31,1577.02,2002-02-01,1565.84,1991-02-28,411.08,1991-03-01,414.92
2002-02-28,1545.9,2002-03-01,1580.91,1991-03-29,421.03,1991-04-01,416.74
2002-03-29,1603.63,2002-04-01,1602.45,1991-04-30,422.03,1991-05-01,427.59
2002-04-30,1506.03,2002-05-01,1519.46,1991-05-31,440.24,1991-06-01,440.24
2002-05-31,1494.15,2002-06-01,1494.15,1991-06-28,420.07,1991-07-01,427.73
2002-06-28,1387.17,2002-07-01,1357.51,1991-07-31,439.65,1991-08-01,438.89
2002-07-31,1278.6,2002-08-01,1240.93,1991-08-30,450.06,1991-09-01,450.06
2002-08-30,1286.35,2002-09-01,1286.35,1991-09-30,442.53,1991-10-01,444.08
2002-09-30,1146.03,2002-10-01,1191.9,1991-10-31,448.48,1991-11-01,447.2
